Дата,IP,Время в сети,Статус,Событие
2025-03-03 10:57:35,127.0.0.1,00:00:00,Был в сети: 6 минут назад,Пользователь user авторизовался.
2025-03-03 10:57:38,127.0.0.1,00:00:03,Был в сети: 6 минут назад,Пользователь user покинул этот сайт.
2025-03-03 10:57:44,127.0.0.1,00:00:00,Онлайн,Пользователь admin авторизовался.
2025-03-03 10:57:50,127.0.0.1,00:00:06,Онлайн,Пользователь admin покинул этот сайт.
2025-03-03 10:57:58,127.0.0.1,00:00:00,Онлайн,Пользователь admin авторизовался.
2025-03-03 11:06:20,127.0.0.1,00:08:22,Онлайн,Пользователь admin покинул этот сайт.
2025-03-03 11:06:29,127.0.0.1,00:00:00,Был в сети: 6 минут назад,Пользователь user авторизовался.
2025-03-03 11:06:53,127.0.0.1,00:00:24,Был в сети: 6 минут назад,Пользователь user покинул этот сайт.
2025-03-03 11:07:06,127.0.0.1,00:00:00,Онлайн,Пользователь admin авторизовался.
2025-03-03 11:10:55,127.0.0.1,00:03:49,Онлайн,Пользователь admin покинул этот сайт.
2025-03-03 11:11:01,127.0.0.1,00:00:00,Был в сети: 6 минут назад,Пользователь user авторизовался.
2025-03-03 11:11:06,127.0.0.1,00:00:05,Был в сети: 6 минут назад,Пользователь user оставил комментарий к записи [Id: 1]: dasdasd
2025-03-03 11:11:09,127.0.0.1,00:00:08,Был в сети: 6 минут назад,Пользователь user покинул этот сайт.
2025-03-03 11:11:15,127.0.0.1,00:00:00,Онлайн,Пользователь admin авторизовался.
2025-03-03 11:15:31,127.0.0.1,00:04:16,Онлайн,Пользователь admin покинул этот сайт.
2025-03-03 11:15:35,127.0.0.1,00:00:00,Онлайн,Пользователь admin авторизовался.
